color,director_name,duration,gross,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
Color,Christopher Spencer,170,59696176.0,Son of God,2014,English,Usa,22000000.0,5.6,"Roma Downey,Amber Rose Revah,Darwin Shaw",15000
Color,Christopher Nolan,169,187991439.0,Interstellar,2014,English,Usa,165000000.0,8.6,"Matthew McConaughey,Anne Hathaway,Mackenzie Foy",349000
Color,F. Gary Gray,167,161029270.0,Straight Outta Compton,2015,English,Usa,28000000.0,7.9,"Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor",76000
,Richard Linklater,165,25359200.0,Boyhood,2014,English,Usa,4000000.0,8.0,"Ellar Coltrane,Lorelei Linklater,Libby Villari",92000
Color,Quentin Tarantino,580,162804648.0,Django Unchained,2012,English,Usa,100000000.0,8.5,"Leonardo DiCaprio,Christoph Waltz,Ato Essandoh",199000
Color,Michael Bay,165,245428137.0,Transformers: Age of Extinction,2014,English,Usa,210000000.0,5.7,"Bingbing Li,Sophia Myles,Kelsey Grammer",56000
,Christopher Nolan,164,448130642.0,The Dark Knight Rises,2012,English,Usa,250000000.0,8.5,"Tom Hardy,Christian Bale,Joseph Gordon-Levitt",164000
Color,Peter Jackson,164,255108370.0,The Hobbit: The Battle of the Five Armies,2014,English,New Zealand,250000000.0,7.5,"Aidan Turner,Adam Brown,James Nesbitt",65000
Color,Tom Hooper,158,148775460.0,Les Misérables,2012,English,Usa,61000000.0,7.6,"Hugh Jackman,Eddie Redmayne,Anne Hathaway",144000
Color,Tom Hooper,158,148775460.0,Les Misérables,2012,English,Usa,61000000.0,7.6,"Hugh Jackman,Eddie Redmayne,Anne Hathaway",144000
Color,Kathryn Bigelow,157,95720716.0,Zero Dark Thirty,2012,English,Usa,40000000.0,7.4,"Jennifer Ehle,Harold Perrineau,Parker Sawyers",39000
Color,Ridley Scott,156,105219735.0,Robin Hood,2010,English,Usa,200000000.0,6.7,"Mark Addy,William Hurt,Scott Grimes",17000
Color,,156,183635922.0,The Revenant,2015,English,Usa,135000000.0,8.1,"Leonardo DiCaprio,Tom Hardy,Lukas Haas",190000
Color,Michael Bay,154,352358779.0,Transformers: Dark of the Moon,2011,English,Usa,195000000.0,6.3,"Glenn Morshower,Lester Speight,Kevin Dunn",46000
Color,Denis Villeneuve,153,60962878.0,Prisoners,2013,English,Usa,46000000.0,8.1,"Hugh Jackman,Jake Gyllenhaal,Dylan Minnette",86000
Color,Gnana Rajasekaran,153,,Ramanujan,2014,English,India,,7.0,"Mani Bharathi,Michael Lieber,Kevin McGowan",58
Color,Marc Webb,153,262030663.0,The Amazing Spider-Man,2012,English,Usa,230000000.0,7.0,"Emma Stone,Andrew Garfield,Chris Zylka",56000
Color,Nan,151,228430993.0,The Martian,2015,English,Usa,108000000.0,8.1,"Matt Damon,Donald Glover,Benedict Wong",153000
Color,Ridley Scott,150,65007045.0,Exodus: Gods and Kings,2014,English,Uk,140000000.0,6.1,"Christian Bale,María Valverde,Ben Mendelsohn",51000
Color,Ridley Scott,150,65007045.0,Exodus: Gods and Kings,2014,English,Uk,140000000.0,6.1,"Christian Bale,María Valverde,Ben Mendelsohn",51000
Color,,150,182204440.0,Lincoln,2012,English,Usa,65000000.0,7.4,"Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill",71000
Color,Mike Leigh,150,3958500.0,Mr. Turner,2014,English,Uk,,6.8,"Lesley Manville,Ruth Sheen,Karl Johnson",0
Color,Gore Verbinski,650,89289910.0,The Lone Ranger,2013,English,Usa,215000000.0,6.5,"Johnny Depp,Ruth Wilson,Tom Wilkinson",48000
Color,David Fincher,149,167735396.0,Gone Girl,2014,English,Usa,61000000.0,8.1,"Patrick Fugit,Sela Ward,Emily Ratajkowski",146000
Color,Bryan Singer,149,233914986.0,X-Men: Days of Future Past,2014,English,United States,200000000.0,8.0,"Jennifer Lawrence,Peter Dinklage,Hugh Jackman",82000
Color,Jay Oliva,148,,"Batman: The Dark Knight Returns, Part 2",2013,English,Usa,3500000.0,8.4,"Michael Emerson,Mark Valley,Grey Griffin",5000
Color,Christopher Nolan,148,292568851.0,Inception,2010,English,Usa,160000000.0,8.8,"Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt",175000
Color,Paul Thomas Anderson,148,8093318.0,Inherent Vice,2014,English,Usa,20000000.0,6.7,"Martin Dew,Katherine Waterston,Serena Scott Thomas",18000
Color,Sam Mendes,148,200074175.0,Spectre,2015,English,Uk,245000000.0,6.8,"Christoph Waltz,Rory Kinnear,Stephanie Sigman",85000
Color,,147,407197282.0,Captain America: Civil War,2016,English,Usa,250000000.0,8.2,"Robert Downey Jr.,Scarlett Johansson,Chris Evans",72000
Color,Michael Patrick King,146,95328937.0,Sex and the City 2,2010,English,Usa,100000000.0,4.3,"Chris Noth,Liza Minnelli,Kristin Davis",0
Color,Tate Taylor,146,169705587.0,The Help,2011,English,Usa,25000000.0,8.1,"Emma Stone,Bryce Dallas Howard,Mike Vogel",75000
Color,Francis Lawrence,146,424645577.0,The Hunger Games: Catching Fire,2013,English,Usa,130000000.0,7.6,"Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty",82000
 Black And White,Steven Spielberg,146,79883359.0,War Horse,2011,English,Usa,66000000.0,7.2,"Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan",28000
Color,Michael Bay,144,52822418.0,13 Hours,2016,English,Usa,50000000.0,7.4,"Toby Stephens,James Badge Dale,David Costabile",44000
Color,Guillaume Canet,144,41229.0,Blood Ties,2013,English,France,25500000.0,6.5,"Mila Kunis,Lili Taylor,Billy Crudup",0
Color,Paul Thomas Anderson,144,16377274.0,The Master,2012,English,Usa,32000000.0,7.1,"Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild",27000
Color,Bryan Singer,144,154985087.0,X-Men: Apocalypse,2016,English,Usa,178000000.0,7.3,"Jennifer Lawrence,Michael Fassbender,Tye Sheridan",54000
Color,Adam Mckay,143,2175312.0,Anchorman 2: The Legend Continues,2013,English,Usa,50000000.0,6.3,"Harrison Ford,Will Ferrell,Steve Carell",41000
Color,Zack Snyder,143,291021565.0,Man of Steel,2013,English,Usa,225000000.0,7.2,"Henry Cavill,Christopher Meloni,Harry Lennix",118000
Color,Sam Mendes,143,304360277.0,Skyfall,2012,English,Uk,200000000.0,7.8,"Albert Finney,Helen McCrory,Rory Kinnear",80000
Color,Sam Mendes,143,304360277.0,Skyfall,2012,English,Uk,200000000.0,7.8,"Albert Finney,Helen McCrory,Rory Kinnear",80000
Color,Baz Luhrmann,143,144812796.0,The Great Gatsby,2013,English,Australia,105000000.0,7.3,"Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley",115000
Color,Baz Luhrmann,143,144812796.0,The Great Gatsby,2013,English,Australia,105000000.0,7.3,"Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley",115000
,,143,,The Ridges,2011,English,Usa,17350.0,3.0,"Robbie Barnes,Alana Kaniewski,Brandon Landers",33
Color,Steven Spielberg,142,72306065.0,Bridge of Spies,2015,English,Usa,40000000.0,7.6,"Tom Hanks,Mark Rylance,Amy Ryan",55000
Color,Marc Webb,142,202853933.0,The Amazing Spider-Man 2,2014,English,Usa,200000000.0,6.7,"Emma Stone,Andrew Garfield,B.J. Novak",41000
Color,,142,407999255.0,The Hunger Games,2012,English,Usa,78000000.0,7.3,"Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds",140000
Color,Joss Whedon,141,458991599.0,Avengers: Age of Ultron,2015,English,Usa,250000000.0,7.5,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",118000
Color,Timur Bekmambetov,141,,Ben-Hur,2016,English,Usa,100000000.0,6.1,"Morgan Freeman,Ayelet Zurer,Moises Arias",0
Color,Timur Bekmambetov,141,,Ben-Hur,2016,English,Usa,100000000.0,6.0,"Morgan Freeman,Ayelet Zurer,Moises Arias",0
Color,Timur Bekmambetov,141,,Ben-Hur,2016,English,Usa,100000000.0,6.1,"Morgan Freeman,Ayelet Zurer,Moises Arias",0
Color,Justin Chadwick,141,8324748.0,Mandela: Long Walk to Freedom,2013,English,Uk,35000000.0,7.1,"Terry Pheto,Fana Mokoena,Tony Kgoroge",13000
,Oliver Stone,141,47307550.0,Savages,2012,English,Usa,45000000.0,6.5,"Demián Bichir,Shea Whigham,Gary Stretch",28000
Color,David Dobkin,141,47105085.0,The Judge,2014,English,Usa,50000000.0,7.4,"Robert Downey Jr.,Robert Duvall,Leighton Meester",47000
Color,Ryan Murphy,140,80574010.0,Eat Pray Love,2010,English,Usa,60000000.0,5.7,"James Franco,Julia Roberts,Billy Crudup",26000
Color,James Wan,140,350034110.0,Furious 7,2015,English,Usa,190000000.0,7.2,"Jason Statham,Paul Walker,Vin Diesel",94000
Color,Derek Cianfrance,140,21383298.0,The Place Beyond the Pines,2012,English,Usa,15000000.0,7.3,"Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza",47000
Color,Gavin O'Connor,140,13651662.0,Warrior,2011,English,Usa,25000000.0,8.2,"Tom Hardy,Frank Grillo,Kevin Dunn",77000
Color,,139,150832203.0,Divergent,2014,English,Usa,85000000.0,6.7,"Kate Winslet,Theo James,Mekhi Phifer",49000
Color,Gary Ross,139,20389967.0,Free State of Jones,2016,English,Usa,50000000.0,6.7,"Matthew McConaughey,Donald Watkins,Jessica Collins",10000
Color,Tate Taylor,139,30513940.0,Get on Up,2014,English,Usa,30000000.0,6.9,"Tika Sumpter,Josh Hopkins,Aunjanue Ellis",11000
,Terrence Malick,139,13303319.0,The Tree of Life,2011,English,Usa,32000000.0,6.7,"Brad Pitt,Tye Sheridan,Fiona Shaw",39000
Color,,138,150117807.0,American Hustle,2013,English,Usa,40000000.0,7.3,"Jennifer Lawrence,Christian Bale,Bradley Cooper",63000
,Robert Zemeckis,138,93749203.0,Flight,2012,English,Usa,31000000.0,7.3,"Denzel Washington,Bruce Greenwood,Nadine Velazquez",64000
Color,Darren Aronofsky,138,101160529.0,Noah,2014,English,Usa,125000000.0,5.8,"Anthony Hopkins,Emma Watson,Logan Lerman",71000
Color,Martin Scorsese,138,127968405.0,Shutter Island,2010,English,Usa,80000000.0,8.1,"Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto",53000
Color,Ridley Scott,138,16969390.0,The Counselor,2013,English,Usa,25000000.0,5.3,"Michael Fassbender,Brad Pitt,Goran Visnjic",24000
,James Mangold,138,132550960.0,The Wolverine,2013,English,Usa,120000000.0,6.7,"Hugh Jackman,Tao Okamoto,Rila Fukushima",68000
Color,Daniel Espinosa,137,1206135.0,Child 44,205,English,Czech Republic,50000000.0,6.4,"Tom Hardy,Fares Fares,Michael Nardone",18000
Color,,137,37304950.0,J. Edgar,2011,English,Usa,35000000.0,6.6,"Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever",16000
,Walter Salles,137,717753.0,On the Road,2012,English,France,25000000.0,6.1,"Kristen Stewart,Viggo Mortensen,Kirsten Dunst",27000
Color,,137,281666058.0,The Hunger Games: Mockingjay - Part 2,2015,English,Usa,160000000.0,6.6,"Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson",38000
Color,Angelina Jolie Pitt,137,115603980.0,Unbroken,2014,English,Usa,65000000.0,-1.2,"Finn Wittrock,Jack O'Connell,Alex Russell",35000
Color,Angelina Jolie Pitt,137,115603980.0,Unbroken,2014,English,Usa,65000000.0,7.2,"Finn Wittrock,Jack O'Connell,Alex Russell",35000
,Seth Macfarlane,136,42615685.0,A Million Ways to Die in the West,2014,English,Usa,40000000.0,6.1,"Liam Neeson,Charlize Theron,Seth MacFarlane",24000
Color,Anthony Russo,136,259746958.0,Captain America: The Winter Soldier,2014,English,Usa,170000000.0,7.8,"Scarlett Johansson,Chris Evans,Hayley Atwell",55000
Color,Rob Marshall,136,241063875.0,Pirates of the Caribbean: On Stranger Tides,2011,English,Usa,250000000.0,6.7,"Johnny Depp,Sam Claflin,Stephen Graham",58000
Color,Adam Shankman,136,38509342.0,Rock of Ages,2012,English,Usa,75000000.0,5.9,"James Martin Kelly,Shane Hartline,Celina Beach",33000
Color,,136,52474616.0,Wall Street: Money Never Sleeps,2010,English,Usa,70000000.0,6.3,"Frank Langella,Austin Pendleton,John Buffalo Mailer",13000
Color,Sadyk Sher-Niyaz,135,,Queen of the Mountains,2014,English,Kyrgyzstan,1400000.0,8.7,"Elina Abai Kyzy,Aziz Muradillayev,Mirlan Abdulayev",0
Color,Tony Gilroy,135,113165635.0,The Bourne Legacy,2012,English,Usa,125000000.0,6.7,"Jeremy Renner,Scott Glenn,Stacy Keach",31000
Color,Steve Mcqueen,134,56667870.0,12 Years a Slave,2013,English,Usa,20000000.0,8.1,"Quvenzhané Wallis,Scoot McNairy,Taran Killam",83000
Color,Richard J. Lewis,134,7501404.0,Barney's Version,2010,English,Canada,,7.3,"Mark Addy,Atom Egoyan,Paul Gross",0
Color,Paul Greengrass,134,107100855.0,Captain Phillips,2013,English,Usa,55000000.0,7.9,"Tom Hanks,Chris Mulkey,Michael Chernus",65000
Color,David Ayer,134,85707116.0,Fury,2014,English,Usa,68000000.0,7.6,"Brad Pitt,Logan Lerman,Jim Parrack",82000
Color,Clint Eastwood,5,47034272.0,Jersey Boys,2014,English,Usa,40000000.0,6.9,"Johnny Cannizzaro,Steve Schirripa,Scott Vance",16000
